TOT_LINES,BLANK_LINES,COMMENTS,EMBEDDED,COMPILER_DIRECT,DATA_DECL,EXEC_INSTR,LOGIC_SLOC,PHYS_SLOC,CC1_TOT,CC1_AVG,fileName,changeId,patchId,patchRef,DOCUMENTATION_CONVENTIONS,REGULAR_EXPRESSIONS,METRIC,STYLE_CONVENTIONS,BEST_PRACTICE,LOGIC,NAMING_CONVENTIONS,RESOURCE,CONCURRENCY,OBJECT_ORIENTED_DESING,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,PATCH_LINES_ADD,PATCH_LINES_DEL,0,1,2,3,4,labels,INTERFACE,REFACTORINGS_REDUNDANCIES,NREV,NAUTH,LOC_ADD,LOC_ADD_TOT,LOC_ADD_MAX,LOC_ADD_MIN,LOC_ADD_AVG,LOC_DEL,LOC_DEL_TOT,LOC_DEL_MAX,LOC_DEL_MIN,LOC_DEL_AVG,CODE_CHURN,CODE_CHURN_TOT,CODE_CHURN_MAX,CODE_CHURN_MIN,CODE_CHURN_AVG,AGE,ERROR_HANDLING,METHOD_ALTERNATIVE_PART_INSERT,MEDIUM,METHOD_STATEMENT_DELETE,METHOD_ALTERNATIVE_PART_DELETE,METHOD_COMMENT_DELETE,NONE,METHOD_STATEMENT_PARENT_CHANGE,NcssCount,AccessorMethodGeneration
0,0,0,0,0,0,0,0,0,0,0,query/tests/org.eclipse.acceleo.query.tests/src/org/eclipse/acceleo/query/services/tests/CollectionServicesAstValidationTest.java,I57176e513bc5ccf0fbd912cced26b512d055d776,91653c2100299f106ccdf9f897ecb6eb589fb0e2,refs/changes/01/65001/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/tests/org.eclipse.acceleo.query.tests/src/org/eclipse/acceleo/query/services/tests/CollectionServicesAstValidationTest.java,I57176e513bc5ccf0fbd912cced26b512d055d776,91653c2100299f106ccdf9f897ecb6eb589fb0e2,refs/changes/01/65001/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['documentation'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.04999999999999982,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/runtime/impl/EvaluationServices.java,Id4fd7850eba4e8d0c0c1b3e7d385aa04d9427754,b6e14b5404d3542902341ea823e774548faaf5c8,refs/changes/76/57176/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/runtime/impl/EvaluationServices.java,Id4fd7850eba4e8d0c0c1b3e7d385aa04d9427754,b6e14b5404d3542902341ea823e774548faaf5c8,refs/changes/76/57176/1,0,0,-4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/runtime/impl/EvaluationServices.java,Id4fd7850eba4e8d0c0c1b3e7d385aa04d9427754,b6e14b5404d3542902341ea823e774548faaf5c8,refs/changes/76/57176/1,0,0,-1,0,-1,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/runtime/impl/EvaluationServices.java,Id4fd7850eba4e8d0c0c1b3e7d385aa04d9427754,b6e14b5404d3542902341ea823e774548faaf5c8,refs/changes/76/57176/1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/runtime/impl/EvaluationServices.java,Id4fd7850eba4e8d0c0c1b3e7d385aa04d9427754,b6e14b5404d3542902341ea823e774548faaf5c8,refs/changes/76/57176/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0,0,0,0,0,0,0,0,13,5,122,824,529,0,63.38461538461539,25,138,63,0,10.615384615384615,97,686,529,-9,52.76923076923077,0.7041095890410959,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/runtime/impl/EvaluationServices.java,Id4fd7850eba4e8d0c0c1b3e7d385aa04d9427754,b6e14b5404d3542902341ea823e774548faaf5c8,refs/changes/76/57176/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/runtime/impl/EvaluationServices.java,Id4fd7850eba4e8d0c0c1b3e7d385aa04d9427754,b6e14b5404d3542902341ea823e774548faaf5c8,refs/changes/76/57176/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,2,1,1,2,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/runtime/impl/EvaluationServices.java,Id4fd7850eba4e8d0c0c1b3e7d385aa04d9427754,b6e14b5404d3542902341ea823e774548faaf5c8,refs/changes/76/57176/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['documentation', 'structure']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/parser/AstBuilderListener.java,I7f5d0fbae8224b4be793db159fde8fe3448fee7e,dab96a60f22b0957adf0e44fe9ab4df4db2c0f5d,refs/changes/98/44098/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/parser/AstBuilderListener.java,I7f5d0fbae8224b4be793db159fde8fe3448fee7e,dab96a60f22b0957adf0e44fe9ab4df4db2c0f5d,refs/changes/98/44098/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/parser/AstBuilderListener.java,I7f5d0fbae8224b4be793db159fde8fe3448fee7e,dab96a60f22b0957adf0e44fe9ab4df4db2c0f5d,refs/changes/98/44098/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/parser/AstBuilderListener.java,I7f5d0fbae8224b4be793db159fde8fe3448fee7e,dab96a60f22b0957adf0e44fe9ab4df4db2c0f5d,refs/changes/98/44098/3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/parser/AstBuilderListener.java,I7f5d0fbae8224b4be793db159fde8fe3448fee7e,dab96a60f22b0957adf0e44fe9ab4df4db2c0f5d,refs/changes/98/44098/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,-107,0,0,0,0,0,0,0,0,6,2,1,1148,1092,1,191.33333333333334,1,30,18,0,5.0,0,1118,1092,0,186.33333333333334,0.09863013698630137,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/parser/AstBuilderListener.java,I7f5d0fbae8224b4be793db159fde8fe3448fee7e,dab96a60f22b0957adf0e44fe9ab4df4db2c0f5d,refs/changes/98/44098/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/parser/AstBuilderListener.java,I7f5d0fbae8224b4be793db159fde8fe3448fee7e,dab96a60f22b0957adf0e44fe9ab4df4db2c0f5d,refs/changes/98/44098/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,query/plugins/org.eclipse.acceleo.query/src/org/eclipse/acceleo/query/parser/AstBuilderListener.java,I7f5d0fbae8224b4be793db159fde8fe3448fee7e,dab96a60f22b0957adf0e44fe9ab4df4db2c0f5d,refs/changes/98/44098/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['documentation'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
